Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Tiempo
68277.9184911154,9784.99022543314,-237.12965692635262,-41360.070271500386,-23286.136780516717,-60488.24614146306,-27141.008036256797,79636.4491744577,0.576
68256.12554027147,9767.131181613348,-228.8371597334337,-41354.05765224191,-23279.721829858045,-60484.60280711685,-27137.655274588502,79637.67852040274,0.58
68262.38402871895,9760.872693165862,-240.43771510573808,-41364.63002736927,-23290.76359161897,-60494.526981655006,-27146.573620626168,79626.54735166399,0.584
68271.34707824554,9769.634576992343,-253.1558577008078,-41371.67082687269,-23300.28543475693,-60496.42687993371,-27148.294704949225,79621.27233997254,0.588
68272.03998232365,9781.41394632029,-234.96153771418784,-41349.09556497283,-23281.107638014277,-60477.89728378026,-27127.440527372426,79643.8476018724,0.592
68259.23243275075,9774.998995661617,-213.79443571501204,-41330.968300219574,-23261.54986161588,-60466.967280741614,-27116.398765611502,79660.25378230259,0.596
68253.57744140357,9757.11760009737,-212.38627581432772,-41330.87889324175,-23258.018285991944,-60470.49885636555,-27122.634902314534,79661.43842475873,0.6
68262.83106360806,9766.08064962395,-229.1053806668974,-41344.02171898147,-23269.97646927553,-60481.428859404194,-27134.615437342578,79650.32960776445,0.604
68268.50840669971,9782.710347498698,-214.80026421550087,-41328.107276929295,-23252.92208825613,-60469.80595228743,-27120.399727869004,79669.19448008473,0.608
68266.58615667655,9787.292455112036,-220.45525556269357,-41336.19860842211,-23259.337038914808,-60480.87006579281,-27132.8049460417,79660.0526166025,0.612
68263.59102291954,9774.037870650038,-232.72636326865714,-41350.74959406252,-23273.351582688283,-60492.895304309764,-27147.020655515273,79643.8476018724,0.616
68279.03607833816,9780.542228286533,-269.71850034219034,-41382.4667194446,-23308.622635438758,-60518.46569996664,-27172.926327338973,79611.61638636785,0.62
68286.50156098623,9796.635484294353,-287.89046858435495,-41393.10614980533,-23322.503068745504,-60522.51136571305,-27173.75334188382,79599.50174087308,0.624
68265.3121072426,9783.939693443739,-266.05281425152,-41370.30737046091,-23298.720812645057,-60500.29373172447,-27151.80392882871,79621.31704346146,0.628
68247.74363610073,9757.184655330737,-247.90319775381064,-41355.778736564964,-23281.487617670016,-60484.40164141675,-27138.41523389998,79638.88551460333,0.632
68261.82523510758,9761.967928644173,-261.82833454946694,-41368.586286137855,-23296.195065521606,-60499.71258636864,-27152.6085916291,79627.70964237567,0.636
68278.05260158212,9788.119469656882,-287.91282032881026,-41390.08866430386,-23320.670225700167,-60517.19165053269,-27170.08765579315,79605.42495315374,0.64
68268.32959274406,9789.79585049103,-269.9196660422881,-41372.58724839536,-23302.185333035628,-60499.5784759019,-27153.480309662857,79624.20041849618,0.644
68262.1605112744,9781.548056787022,-287.89046858435495,-41395.05075157294,-23322.9054001457,-60520.8349848789,-27178.871891364088,79599.5911478509,0.648
68262.24991825223,9774.462553794689,-301.43562572427106,-41408.28298429048,-23338.52926951996,-60527.38404600431,-27182.291708265748,79584.86134825485,0.652
68268.77662763317,9780.184600375247,-283.9118580713103,-41386.57944042438,-23320.08908034433,-60505.38992946028,-27160.00701904381,79607.45896189916,0.656
68272.55407244612,9791.539286558544,-278.793308591045,-41376.968190308595,-23313.495315730015,-60499.66788287972,-27158.12947250956,79614.9914997806,0.66
